"Provincia" "Municipio" "Partido" "VotosMuni" "PorcMuni" "Votos" "Porc" "VotosCCAA" "PorcCCAA"
"56" "AVILA" "ARENAS DE SAN PEDRO" "Cs" 73 2.40924092409241 1926 2.35728972877705 54538 4.49204802565849
"57" "AVILA" "ARENAS DE SAN PEDRO" "FEdelasJONS" 4 0.132013201320132 79 0.0966904925095467 317 0.0261098541225153
"58" "AVILA" "ARENAS DE SAN PEDRO" "PACMA" 28 0.924092409240924 367 0.449182414569666 6508 0.536034481480536
"59" "AVILA" "ARENAS DE SAN PEDRO" "PCAS" 4 0.132013201320132 194 0.237442475276608 2834 0.233423743164696
"60" "AVILA" "ARENAS DE SAN PEDRO" "Podemos" 219 7.22772277227723 2984 3.65220797023402 61666 5.07914909879821
"61" "AVILA" "ARENAS DE SAN PEDRO" "PP" 1130 37.2937293729373 27829 34.060755899344 381498 31.4222622335374
"62" "AVILA" "ARENAS DE SAN PEDRO" "PSOE" 1018 33.5973597359736 19764 24.1897581513757 364528 30.0245202005434
"63" "AVILA" "ARENAS DE SAN PEDRO" "PYC(ANULADA)" 0 0 0 0 0 0
"64" "AVILA" "ARENAS DE SAN PEDRO" "VOX" 408 13.4653465346535 14246 17.4361108391266 214223 17.6445781693615
"65" "AVILA" "ARENAS DE SAN PEDRO" "XAV" 120 3.96039603960396 13690 16.755605600705 13861 1.14166778546431
"66" "AVILA" "ARENAS DE SAN PEDRO" "Votos en blanco" 26 0.858085808580858 625 0.764956428081856 12153 1.00098756199031
"67" "AVILA" "AREVALILLO" "Cs" 0 0 1926 2.35728972877705 54538 4.49204802565849
"68" "AVILA" "AREVALILLO" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"69" "AVILA" "AREVALILLO" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"70" "AVILA" "AREVALILLO" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"71" "AVILA" "AREVALILLO" "Podemos" 3 6.97674418604651 2984 3.65220797023402 61666 5.07914909879821
"72" "AVILA" "AREVALILLO" "PP" 12 27.906976744186 27829 34.060755899344 381498 31.4222622335374
"73" "AVILA" "AREVALILLO" "PSOE" 13 30.2325581395349 19764 24.1897581513757 364528 30.0245202005434
"74" "AVILA" "AREVALILLO" "PYC(ANULADA)" 0 0 0 0 0 0
"75" "AVILA" "AREVALILLO" "VOX" 13 30.2325581395349 14246 17.4361108391266 214223 17.6445781693615
"76" "AVILA" "AREVALILLO" "XAV" 1 2.32558139534884 13690 16.755605600705 13861 1.14166778546431
"77" "AVILA" "AREVALILLO" "Votos en blanco" 1 2.32558139534884 625 0.764956428081856 12153 1.00098756199031
"78" "AVILA" "AREVALO" "Cs" 101 2.52689517137853 1926 2.35728972877705 54538 4.49204802565849
