Provincia,1983,1987,1991,1995,1999,2003,2007,2011,2015,2019,2022
AVILA,7,7,7,7,7,7,7,7,7,7,7
BURGOS,11,11,11,11,11,11,11,11,11,11,11
LEON,15,15,15,15,14,14,14,14,14,13,13
PALENCIA,7,7,7,7,7,7,7,7,7,7,7
SALAMANCA,11,11,11,11,11,11,11,11,11,10,10
SEGOVIA,6,6,6,6,6,6,6,7,7,6,6
SORIA,5,5,5,5,5,5,5,5,5,5,5
VALLADOLID,14,14,14,14,14,14,15,15,15,15,15
ZAMORA,8,8,8,8,8,7,7,7,7,7,7
