Código.de.mesa;Provincia;Código.municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
1;05-001-1-0001-A;AVILA;1;ADANERO;1;1;A;322;0;0;268;5;3;CDS;99
2;05-001-1-0001-A;AVILA;1;ADANERO;1;1;A;322;0;0;268;5;3;AP;85
3;05-001-1-0001-A;AVILA;1;ADANERO;1;1;A;322;0;0;268;5;3;PSOE;51
4;05-001-1-0001-A;AVILA;1;ADANERO;1;1;A;322;0;0;268;5;3;PDP;22
5;05-001-1-0001-A;AVILA;1;ADANERO;1;1;A;322;0;0;268;5;3;IU;2
6;05-001-1-0001-A;AVILA;1;ADANERO;1;1;A;322;0;0;268;5;3;PTE;1
7;05-002-1-0001-A;AVILA;2;LA ADRADA;1;1;A;1339;0;0;0;0;0;IU;0
8;05-002-1-0001-A;AVILA;2;LA ADRADA;1;1;A;1339;0;0;0;0;0;CDS;0
9;05-002-1-0001-A;AVILA;2;LA ADRADA;1;1;A;1339;0;0;0;0;0;PTE;0
10;05-002-1-0001-A;AVILA;2;LA ADRADA;1;1;A;1339;0;0;0;0;0;AP;0
11;05-002-1-0001-A;AVILA;2;LA ADRADA;1;1;A;1339;0;0;0;0;0;PSOE;0
12;05-002-1-0001-A;AVILA;2;LA ADRADA;1;1;A;1339;0;0;0;0;0;PDP;0
13;05-005-1-0001-A;AVILA;5;ALBORNOS;1;1;A;256;0;0;212;0;0;CDS;94
14;05-005-1-0001-A;AVILA;5;ALBORNOS;1;1;A;256;0;0;212;0;0;AP;83
15;05-005-1-0001-A;AVILA;5;ALBORNOS;1;1;A;256;0;0;212;0;0;PSOE;32
16;05-005-1-0001-A;AVILA;5;ALBORNOS;1;1;A;256;0;0;212;0;0;PDP;2
17;05-005-1-0001-A;AVILA;5;ALBORNOS;1;1;A;256;0;0;212;0;0;IU;1
18;05-005-1-0001-A;AVILA;5;ALBORNOS;1;1;A;256;0;0;212;0;0;PTE;0
19;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;A;202;0;0;158;10;0;CDS;117
20;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;A;202;0;0;158;10;0;AP;26
21;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;A;202;0;0;158;10;0;PSOE;5
22;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;A;202;0;0;158;10;0;PTE;0
23;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;A;202;0;0;158;10;0;PDP;0
24;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;A;202;0;0;158;10;0;IU;0
25;05-008-1-0001-A;AVILA;8;ALDEASECA;1;1;A;350;0;0;309;3;0;CDS;154
26;05-008-1-0001-A;AVILA;8;ALDEASECA;1;1;A;350;0;0;309;3;0;AP;86
27;05-008-1-0001-A;AVILA;8;ALDEASECA;1;1;A;350;0;0;309;3;0;PSOE;52
28;05-008-1-0001-A;AVILA;8;ALDEASECA;1;1;A;350;0;0;309;3;0;PDP;5
29;05-008-1-0001-A;AVILA;8;ALDEASECA;1;1;A;350;0;0;309;3;0;PTE;5
30;05-008-1-0001-A;AVILA;8;ALDEASECA;1;1;A;350;0;0;309;3;0;IU;4
31;05-010-1-0001-A;AVILA;10;LA ALDEHUELA;1;1;A;273;0;0;237;0;1;CDS;151
32;05-010-1-0001-A;AVILA;10;LA ALDEHUELA;1;1;A;273;0;0;237;0;1;PSOE;56
33;05-010-1-0001-A;AVILA;10;LA ALDEHUELA;1;1;A;273;0;0;237;0;1;AP;26
34;05-010-1-0001-A;AVILA;10;LA ALDEHUELA;1;1;A;273;0;0;237;0;1;IU;2
35;05-010-1-0001-A;AVILA;10;LA ALDEHUELA;1;1;A;273;0;0;237;0;1;PDP;1
36;05-010-1-0001-A;AVILA;10;LA ALDEHUELA;1;1;A;273;0;0;237;0;1;PTE;0
37;05-012-1-0001-A;AVILA;12;AMAVIDA;1;1;A;209;0;0;191;1;1;PDP;70
38;05-012-1-0001-A;AVILA;12;AMAVIDA;1;1;A;209;0;0;191;1;1;CDS;57
39;05-012-1-0001-A;AVILA;12;AMAVIDA;1;1;A;209;0;0;191;1;1;AP;39
40;05-012-1-0001-A;AVILA;12;AMAVIDA;1;1;A;209;0;0;191;1;1;PSOE;23
41;05-012-1-0001-A;AVILA;12;AMAVIDA;1;1;A;209;0;0;191;1;1;PTE;0
42;05-012-1-0001-A;AVILA;12;AMAVIDA;1;1;A;209;0;0;191;1;1;IU;0
43;05-013-1-0001-A;AVILA;13;EL ARENAL;1;1;A;990;0;0;808;2;2;AP;344
