Código.de.mesa;Provincia;Código.municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
1;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;232;141;178;213;0;1;PP;130
2;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;232;141;178;213;0;1;PSOE;76
3;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;232;141;178;213;0;1;IU;3
4;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;232;141;178;213;0;1;PCAS;2
5;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;232;141;178;213;0;1;FE;1
6;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;232;141;178;213;0;1;FA;0
7;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;232;141;178;213;0;1;CI;0
8;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;945;387;560;681;8;28;PP;329
9;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;945;387;560;681;8;28;PSOE;246
10;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;945;387;560;681;8;28;CI;50
11;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;945;387;560;681;8;28;IU;17
12;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;945;387;560;681;8;28;FE;2
13;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;945;387;560;681;8;28;PCAS;1
14;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;945;387;560;681;8;28;FA;0
15;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;934;418;593;705;19;17;PP;340
16;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;934;418;593;705;19;17;PSOE;267
17;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;934;418;593;705;19;17;CI;39
18;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;934;418;593;705;19;17;IU;20
19;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;934;418;593;705;19;17;PCAS;2
20;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;934;418;593;705;19;17;FA;1
21;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;934;418;593;705;19;17;FE;0
22;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;93;160;186;3;3;PP;121
23;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;93;160;186;3;3;PSOE;54
24;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;93;160;186;3;3;FA;2
25;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;93;160;186;3;3;IU;2
26;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;93;160;186;3;3;CI;1
27;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;93;160;186;3;3;PCAS;0
28;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;93;160;186;3;3;FE;0
29;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;137;61;93;105;0;1;PP;96
30;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;137;61;93;105;0;1;PSOE;7
31;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;137;61;93;105;0;1;IU;1
32;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;137;61;93;105;0;1;CI;0
33;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;137;61;93;105;0;1;FE;0
34;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;137;61;93;105;0;1;PCAS;0
35;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;137;61;93;105;0;1;FA;0
36;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;265;137;201;239;2;5;PP;143
37;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;265;137;201;239;2;5;PSOE;85
38;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;265;137;201;239;2;5;IU;2
39;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;265;137;201;239;2;5;CI;1
40;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;265;137;201;239;2;5;PCAS;1
41;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;265;137;201;239;2;5;FE;0
42;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;265;137;201;239;2;5;FA;0
43;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;189;88;122;147;0;2;PP;114
44;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;189;88;122;147;0;2;PSOE;30
45;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;189;88;122;147;0;2;PCAS;1
46;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;189;88;122;147;0;2;IU;0
47;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;189;88;122;147;0;2;FA;0
48;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;189;88;122;147;0;2;FE;0
49;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;189;88;122;147;0;2;CI;0
50;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;70;129;156;4;2;PP;94
51;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;70;129;156;4;2;PSOE;54
52;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;70;129;156;4;2;FE;1
53;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;70;129;156;4;2;IU;1
54;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;70;129;156;4;2;CI;0
55;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;70;129;156;4;2;PCAS;0
56;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;70;129;156;4;2;FA;0
57;05-013-1-001-A;AVILA;13;EL ARENAL;1;1;A;457;276;350;419;2;5;PSOE;211
58;05-013-1-001-A;AVILA;13;EL ARENAL;1;1;A;457;276;350;419;2;5;PP;192
59;05-013-1-001-A;AVILA;13;EL ARENAL;1;1;A;457;276;350;419;2;5;IU;6
60;05-013-1-001-A;AVILA;13;EL ARENAL;1;1;A;457;276;350;419;2;5;PCAS;2
61;05-013-1-001-A;AVILA;13;EL ARENAL;1;1;A;457;276;350;419;2;5;FA;1
62;05-013-1-001-A;AVILA;13;EL ARENAL;1;1;A;457;276;350;419;2;5;CI;0
63;05-013-1-001-A;AVILA;13;EL ARENAL;1;1;A;457;276;350;419;2;5;FE;0
64;05-013-1-001-B;AVILA;13;EL ARENAL;1;1;B;473;271;355;425;3;1;PSOE;217
65;05-013-1-001-B;AVILA;13;EL ARENAL;1;1;B;473;271;355;425;3;1;PP;191
66;05-013-1-001-B;AVILA;13;EL ARENAL;1;1;B;473;271;355;425;3;1;IU;9
