Código.de.mesa;Provincia;Código.municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
1;05-001-1-0001-A;AVILA;1;ADANERO;1;1;A;336;50;227;256;4;0;PSOE;63
2;05-001-1-0001-A;AVILA;1;ADANERO;1;1;A;336;50;227;256;4;0;CDS;46
3;05-001-1-0001-A;AVILA;1;ADANERO;1;1;A;336;50;227;256;4;0;PCE;0
4;05-002-1-0001-A;AVILA;2;LA ADRADA;1;1;A;1268;330;875;1012;21;1;AP;386
5;05-002-1-0001-A;AVILA;2;LA ADRADA;1;1;A;1268;330;875;1012;21;1;PSOE;297
6;05-002-1-0001-A;AVILA;2;LA ADRADA;1;1;A;1268;330;875;1012;21;1;CDS;231
7;05-002-1-0001-A;AVILA;2;LA ADRADA;1;1;A;1268;330;875;1012;21;1;PCE;76
8;05-005-1-0001-A;AVILA;5;ALBORNOS;1;1;A;255;25;189;211;0;0;AP;106
9;05-005-1-0001-A;AVILA;5;ALBORNOS;1;1;A;255;25;189;211;0;0;CDS;63
10;05-005-1-0001-A;AVILA;5;ALBORNOS;1;1;A;255;25;189;211;0;0;PSOE;42
11;05-005-1-0001-A;AVILA;5;ALBORNOS;1;1;A;255;25;189;211;0;0;PCE;0
12;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;A;254;74;175;193;3;0;CDS;116
13;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;A;254;74;175;193;3;0;AP;73
14;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;A;254;74;175;193;3;0;PSOE;1
15;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;A;254;74;175;193;3;0;PCE;0
16;05-008-1-0001-A;AVILA;8;ALDEASECA;1;1;A;352;86;240;293;1;0;CDS;147
17;05-008-1-0001-A;AVILA;8;ALDEASECA;1;1;A;352;86;240;293;1;0;AP;83
18;05-008-1-0001-A;AVILA;8;ALDEASECA;1;1;A;352;86;240;293;1;0;PSOE;62
19;05-008-1-0001-A;AVILA;8;ALDEASECA;1;1;A;352;86;240;293;1;0;PCE;0
