Código.de.mesa;Provincia;Código.municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
1;05-001-1-0001-A;AVILA;1;ADANERO;1;0001;A;302;116;176;200;5;4;PP;112
2;05-001-1-0001-A;AVILA;1;ADANERO;1;0001;A;302;116;176;200;5;4;CDS;42
3;05-001-1-0001-A;AVILA;1;ADANERO;1;0001;A;302;116;176;200;5;4;PSOE;30
4;05-001-1-0001-A;AVILA;1;ADANERO;1;0001;A;302;116;176;200;5;4;IU;5
5;05-001-1-0001-A;AVILA;1;ADANERO;1;0001;A;302;116;176;200;5;4;FE-JONS;1
6;05-001-1-0001-A;AVILA;1;ADANERO;1;0001;A;302;116;176;200;5;4;LV;1
7;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;685;324;437;534;7;5;PP;281
8;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;685;324;437;534;7;5;PSOE;151
9;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;685;324;437;534;7;5;CDS;60
10;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;685;324;437;534;7;5;IU;26
11;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;685;324;437;534;7;5;LV;3
12;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;685;324;437;534;7;5;FE-JONS;1
13;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;724;340;482;572;0;6;PP;235
14;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;724;340;482;572;0;6;PSOE;228
15;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;724;340;482;572;0;6;CDS;66
16;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;724;340;482;572;0;6;IU;34
17;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;724;340;482;572;0;6;LV;3
18;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;724;340;482;572;0;6;FE-JONS;0
19;05-005-1-0001-A;AVILA;5;ALBORNOS;1;0001;A;259;127;202;222;1;1;PP;115
20;05-005-1-0001-A;AVILA;5;ALBORNOS;1;0001;A;259;127;202;222;1;1;PSOE;61
21;05-005-1-0001-A;AVILA;5;ALBORNOS;1;0001;A;259;127;202;222;1;1;CDS;39
22;05-005-1-0001-A;AVILA;5;ALBORNOS;1;0001;A;259;127;202;222;1;1;IU;5
23;05-005-1-0001-A;AVILA;5;ALBORNOS;1;0001;A;259;127;202;222;1;1;LV;0
24;05-005-1-0001-A;AVILA;5;ALBORNOS;1;0001;A;259;127;202;222;1;1;FE-JONS;0
25;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;110;125;145;13;1;PP;72
26;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;110;125;145;13;1;CDS;57
27;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;110;125;145;13;1;PSOE;2
28;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;110;125;145;13;1;FE-JONS;0
29;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;110;125;145;13;1;LV;0
30;05-007-1-0001-A;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;110;125;145;13;1;IU;0
31;05-008-1-0001-A;AVILA;8;ALDEASECA;1;0001;A;337;125;210;305;2;1;PP;131
32;05-008-1-0001-A;AVILA;8;ALDEASECA;1;0001;A;337;125;210;305;2;1;PSOE;94
33;05-008-1-0001-A;AVILA;8;ALDEASECA;1;0001;A;337;125;210;305;2;1;CDS;70
