Código.de.mesa;Provincia;Código.municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
1;05-001-1-0001-U;AVILA;1;ADANERO;1;0001;U;307;148;227;266;2;1;PP;167
2;05-001-1-0001-U;AVILA;1;ADANERO;1;0001;U;307;148;227;266;2;1;AIAV;62
3;05-001-1-0001-U;AVILA;1;ADANERO;1;0001;U;307;148;227;266;2;1;PSOE;17
4;05-001-1-0001-U;AVILA;1;ADANERO;1;0001;U;307;148;227;266;2;1;IU;13
5;05-001-1-0001-U;AVILA;1;ADANERO;1;0001;U;307;148;227;266;2;1;PNC;2
6;05-001-1-0001-U;AVILA;1;ADANERO;1;0001;U;307;148;227;266;2;1;PB;1
7;05-001-1-0001-U;AVILA;1;ADANERO;1;0001;U;307;148;227;266;2;1;FE-JONS;1
8;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;775;378;517;626;7;7;PP;354
9;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;775;378;517;626;7;7;PSOE;177
10;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;775;378;517;626;7;7;AIAV;40
11;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;775;378;517;626;7;7;IU;39
12;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;775;378;517;626;7;7;PNC;1
13;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;775;378;517;626;7;7;PB;1
14;05-002-1-0001-A;AVILA;2;LA ADRADA;1;0001;A;775;378;517;626;7;7;FE-JONS;0
15;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;788;407;552;645;3;15;PP;317
16;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;788;407;552;645;3;15;PSOE;227
17;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;788;407;552;645;3;15;IU;47
18;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;788;407;552;645;3;15;AIAV;35
19;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;788;407;552;645;3;15;PB;1
20;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;788;407;552;645;3;15;FE-JONS;0
21;05-002-1-0001-B;AVILA;2;LA ADRADA;1;0001;B;788;407;552;645;3;15;PNC;0
22;05-005-1-0001-U;AVILA;5;ALBORNOS;1;0001;U;242;116;179;210;2;1;PP;149
23;05-005-1-0001-U;AVILA;5;ALBORNOS;1;0001;U;242;116;179;210;2;1;PSOE;40
24;05-005-1-0001-U;AVILA;5;ALBORNOS;1;0001;U;242;116;179;210;2;1;IU;10
25;05-005-1-0001-U;AVILA;5;ALBORNOS;1;0001;U;242;116;179;210;2;1;AIAV;8
26;05-005-1-0001-U;AVILA;5;ALBORNOS;1;0001;U;242;116;179;210;2;1;FE-JONS;0
27;05-005-1-0001-U;AVILA;5;ALBORNOS;1;0001;U;242;116;179;210;2;1;PB;0
28;05-005-1-0001-U;AVILA;5;ALBORNOS;1;0001;U;242;116;179;210;2;1;PNC;0
29;05-007-1-0001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;PP;120
30;05-007-1-0001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;PSOE;14
31;05-007-1-0001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;AIAV;8
32;05-007-1-0001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;IU;1
33;05-007-1-0001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;PNC;0
34;05-007-1-0001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;PB;0
35;05-007-1-0001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;FE-JONS;0
36;05-008-1-0001-U;AVILA;8;ALDEASECA;1;0001;U;309;140;225;274;0;0;PP;163
37;05-008-1-0001-U;AVILA;8;ALDEASECA;1;0001;U;309;140;225;274;0;0;PSOE;90
38;05-008-1-0001-U;AVILA;8;ALDEASECA;1;0001;U;309;140;225;274;0;0;IU;13
39;05-008-1-0001-U;AVILA;8;ALDEASECA;1;0001;U;309;140;225;274;0;0;AIAV;7
40;05-008-1-0001-U;AVILA;8;ALDEASECA;1;0001;U;309;140;225;274;0;0;PB;1
41;05-008-1-0001-U;AVILA;8;ALDEASECA;1;0001;U;309;140;225;274;0;0;FE-JONS;0
42;05-008-1-0001-U;AVILA;8;ALDEASECA;1;0001;U;309;140;225;274;0;0;PNC;0
43;05-010-1-0001-U;AVILA;10;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;PP;168
44;05-010-1-0001-U;AVILA;10;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;PSOE;45
45;05-010-1-0001-U;AVILA;10;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;AIAV;7
46;05-010-1-0001-U;AVILA;10;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;IU;4
47;05-010-1-0001-U;AVILA;10;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;PNC;1
48;05-010-1-0001-U;AVILA;10;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;PB;0
49;05-010-1-0001-U;AVILA;10;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;FE-JONS;0
50;05-012-1-0001-U;AVILA;12;AMAVIDA;1;0001;U;189;94;151;164;5;3;PP;121
