Código.de.mesa;Provincia;Código.municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
1;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;267;130;175;226;8;4;PP;154
2;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;267;130;175;226;8;4;PSOE;55
3;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;267;130;175;226;8;4;PNC;2
4;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;267;130;175;226;8;4;IU;2
5;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;267;130;175;226;8;4;FE;1
6;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;267;130;175;226;8;4;FA;0
7;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;267;130;175;226;8;4;IR;0
8;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;267;130;175;226;8;4;PH;0
9;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;267;130;175;226;8;4;IZCA;0
10;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;822;345;536;654;4;14;PP;328
11;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;822;345;536;654;4;14;PSOE;282
12;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;822;345;536;654;4;14;IU;15
13;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;822;345;536;654;4;14;IZCA;4
14;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;822;345;536;654;4;14;PH;3
15;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;822;345;536;654;4;14;PNC;2
16;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;822;345;536;654;4;14;IR;1
17;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;822;345;536;654;4;14;FE;1
18;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;822;345;536;654;4;14;FA;0
19;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;858;419;592;715;8;10;PSOE;340
20;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;858;419;592;715;8;10;PP;337
21;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;858;419;592;715;8;10;IU;14
22;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;858;419;592;715;8;10;IZCA;3
23;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;858;419;592;715;8;10;PH;1
24;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;858;419;592;715;8;10;FA;1
25;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;858;419;592;715;8;10;PNC;1
26;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;858;419;592;715;8;10;IR;0
27;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;858;419;592;715;8;10;FE;0
28;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;98;161;186;1;5;PP;130
29;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;98;161;186;1;5;PSOE;44
30;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;98;161;186;1;5;IU;6
31;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;98;161;186;1;5;PH;0
32;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;98;161;186;1;5;FA;0
33;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;98;161;186;1;5;IZCA;0
34;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;98;161;186;1;5;IR;0
35;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;98;161;186;1;5;PNC;0
36;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;220;98;161;186;1;5;FE;0
37;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;154;72;118;121;3;4;PP;106
38;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;154;72;118;121;3;4;PSOE;7
39;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;154;72;118;121;3;4;IU;1
40;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;154;72;118;121;3;4;PNC;0
41;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;154;72;118;121;3;4;IR;0
42;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;154;72;118;121;3;4;FA;0
43;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;154;72;118;121;3;4;PH;0
44;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;154;72;118;121;3;4;IZCA;0
45;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;154;72;118;121;3;4;FE;0
46;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;288;84;217;261;1;3;PP;153
47;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;288;84;217;261;1;3;PSOE;99
48;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;288;84;217;261;1;3;IU;3
49;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;288;84;217;261;1;3;IR;1
50;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;288;84;217;261;1;3;PNC;1
51;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;288;84;217;261;1;3;FE;0
52;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;288;84;217;261;1;3;IZCA;0
53;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;288;84;217;261;1;3;FA;0
54;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;288;84;217;261;1;3;PH;0
55;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;226;116;147;178;1;2;PP;137
56;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;226;116;147;178;1;2;PSOE;38
57;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;226;116;147;178;1;2;FA;0
58;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;226;116;147;178;1;2;PNC;0
59;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;226;116;147;178;1;2;IR;0
60;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;226;116;147;178;1;2;IZCA;0
61;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;226;116;147;178;1;2;FE;0
62;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;226;116;147;178;1;2;PH;0
63;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;226;116;147;178;1;2;IU;0
64;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;89;135;155;1;2;PP;91
65;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;89;135;155;1;2;PSOE;59
66;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;89;135;155;1;2;IU;2
67;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;89;135;155;1;2;FE;0
68;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;89;135;155;1;2;PNC;0
69;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;89;135;155;1;2;FA;0
70;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;89;135;155;1;2;IZCA;0
71;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;89;135;155;1;2;IR;0
72;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;168;89;135;155;1;2;PH;0
73;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;890;528;685;791;7;15;PSOE;381
74;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;890;528;685;791;7;15;PP;367
75;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;890;528;685;791;7;15;IU;18
76;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;890;528;685;791;7;15;PNC;2
77;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;890;528;685;791;7;15;IR;1
78;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;890;528;685;791;7;15;FE;0
79;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;890;528;685;791;7;15;FA;0
80;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;890;528;685;791;7;15;IZCA;0
81;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;890;528;685;791;7;15;PH;0
82;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;791;382;505;599;7;10;PP;383
83;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;791;382;505;599;7;10;PSOE;170
84;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;791;382;505;599;7;10;IU;26
85;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;791;382;505;599;7;10;FE;1
86;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;791;382;505;599;7;10;PH;1
87;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;791;382;505;599;7;10;IZCA;1
88;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;791;382;505;599;7;10;FA;0
89;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;791;382;505;599;7;10;IR;0
90;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;791;382;505;599;7;10;PNC;0
91;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;801;345;480;595;10;13;PP;365
92;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;801;345;480;595;10;13;PSOE;163
93;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;801;345;480;595;10;13;IU;35
94;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;801;345;480;595;10;13;IR;4
95;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;801;345;480;595;10;13;FA;3
96;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;801;345;480;595;10;13;IZCA;2
97;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;801;345;480;595;10;13;PH;0
98;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;801;345;480;595;10;13;PNC;0
99;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;801;345;480;595;10;13;FE;0
100;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;638;304;400;486;4;5;PP;267
101;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;638;304;400;486;4;5;PSOE;180
102;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;638;304;400;486;4;5;IU;25
