Código.de.mesa;Provincia;Código..municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
60;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;163;61;109;121;0;0;PYC(ANULADA);0
61;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;PP;39
62;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;PSOE;10
63;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;VOX;10
64;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;XAV;2
65;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;PYC(ANULADA);0
66;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;Podemos;0
67;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;PCAS;0
68;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;PACMA;0
69;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;FEdelasJONS;0
70;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;Cs;0
71;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;PP;55
72;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;PSOE;32
73;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;VOX;19
74;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;XAV;7
75;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;Podemos;4
76;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;Cs;3
77;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;PCAS;1
78;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;FEdelasJONS;1
79;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;PACMA;0
80;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;PYC(ANULADA);0
81;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;PP;38
82;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;VOX;23
83;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;PSOE;18
84;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;XAV;12
85;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;Cs;1
86;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;Podemos;1
87;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;PACMA;0
88;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;PYC(ANULADA);0
89;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;FEdelasJONS;0
90;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;PCAS;0
91;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;PP;31
92;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;VOX;20
93;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;XAV;20
94;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;PSOE;20
95;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;Cs;3
96;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;PACMA;1
97;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;PCAS;0
98;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;PYC(ANULADA);0
99;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;FEdelasJONS;0
100;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;Podemos;0
101;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;PSOE;249
102;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;PP;202
103;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;Podemos;44
104;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;VOX;41
105;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;XAV;35
106;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;Cs;4
107;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;PACMA;2
108;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;PCAS;0
109;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;PYC(ANULADA);0
110;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;FEdelasJONS;0
111;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;PP;186
112;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;PSOE;120
113;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;VOX;59
114;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;XAV;18
115;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;Podemos;17
116;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;Cs;5
117;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;PACMA;3
118;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;PCAS;1
119;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;FEdelasJONS;1
120;05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;PYC(ANULADA);0
121;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;PP;155
122;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;PSOE;133
123;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;VOX;73
124;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;Podemos;36
125;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;XAV;11
126;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;Cs;7
127;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;PCAS;1
128;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;FEdelasJONS;1
129;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;PACMA;0
130;05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;PYC(ANULADA);0
131;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;PSOE;126
132;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;PP;105
133;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;VOX;30
134;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;Podemos;27
